"Timestamp","Which option describes you?","Which age group describes you?","Which of these describe you?","What is your pay period?","Which of these describes your personal income last year?","Which of these describes your typical monthly expenses?","Which of these describes your typical monthly net income?","Which of these best describes your financial risk appetite","Please rank the importance of these attributes to you in a SAVING financial product [Minimum Deposit]","Please rank the importance of these attributes to you in a SAVING financial product [Additional Fees]","Please rank the importance of these attributes to you in a SAVING financial product [Time Period]","Please rank the importance of these attributes to you in a SAVING financial product [Interest Rate]","Please rank the importance of these attributes to you in a SAVING financial product [Risk]","Please rank the importance of these attributes to you in a LOAN financial product [Minimum Deposit]","Please rank the importance of these attributes to you in a LOAN financial product [Additional Fees]","Please rank the importance of these attributes to you in a LOAN financial product [Time Period]","Please rank the importance of these attributes to you in a LOAN financial product [Interest Rate]","Please rank the importance of these attributes to you in a LOAN financial product [Risk]","Please rank the importance of these attributes to you in an INVESTMENT financial product [Minimum Deposit]","Please rank the importance of these attributes to you in an INVESTMENT financial product [Additional Fees]","Please rank the importance of these attributes to you in an INVESTMENT financial product [Time Period]","Please rank the importance of these attributes to you in an INVESTMENT financial product [Interest Rate]","Please rank the importance of these attributes to you in an INVESTMENT financial product [Risk]","If you needed $300,000 to meet an important goal within the next 5 years, how likely would you be to use the financial product listed below:","If you needed $300,000 to meet an important goal within the next 5 years, how likely would you be to use the financial product listed below:","If you needed $300,000 to meet an important goal within the next 5 years, how likely would you be to use the financial product listed below:"
"2021/05/08 12:03:25 PM EST","Female","18 - 25","Full-time employed;Full-time student","Monthly","$500,000 to $1,500,000","$20,000 to $60,000","$100,000 to $140,000","4","5 (Very important)","4","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","3","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","4","5 (Very important)","5 (Very important)","5 (Very important)","5","5","5"
"2021/05/08 12:03:29 PM EST","Female","18 - 25","Full-time employed;Full-time student","Monthly","$500,000 to $1,500,000","$20,000 to $60,000","$100,000 to $140,000","4","5 (Very important)","4","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","3","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","4","5 (Very important)","5 (Very important)","5 (Very important)","5","5","5"
"2021/05/08 12:06:21 PM EST","Male","18 - 25","Full-time student","None ","$0","$0 to $20,000","$0 to $20,000","5","5 (Very important)","3","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","3","2","5"
"2021/05/08 12:09:15 PM EST","Female","18 - 25","Full-time employed","Monthly","$2,500,000 to $3,500,000","$20,000 to $60,000","$180,000 to $220,000","1","1 (Not important)","1 (Not important)","3","5 (Very important)","3","1 (Not important)","1 (Not important)","5 (Very important)","5 (Very important)","3","1 (Not important)","1 (Not important)","5 (Very important)","5 (Very important)","5 (Very important)","5","5","1"
"2021/05/08 2:30:40 PM EST","Female","18 - 25","Full-time employed","Monthly","$2,500,000 to $3,500,000","$20,000 to $60,000","$180,000 to $220,000","1","1 (Not important)","1 (Not important)","3","5 (Very important)","3","1 (Not important)","1 (Not important)","5 (Very important)","5 (Very important)","3","1 (Not important)","1 (Not important)","5 (Very important)","5 (Very important)","5 (Very important)","5","5","1"
"2021/05/08 2:30:41 PM EST","Female","18 - 25","Full-time employed","Monthly","$2,500,000 to $3,500,000","$20,000 to $60,000","$180,000 to $220,000","1","1 (Not important)","1 (Not important)","3","5 (Very important)","3","1 (Not important)","1 (Not important)","5 (Very important)","5 (Very important)","3","1 (Not important)","1 (Not important)","5 (Very important)","5 (Very important)","5 (Very important)","5","5","1"
"2021/05/11 9:53:18 AM EST","Male","18 - 25","Full-time employed","Monthly","$1,500,000 to $2,500,000","$60,000 to $100,000","$100,000 to $140,000","2","1 (Not important)","1 (Not important)","1 (Not important)","4","4","4","4","4","4","4","4","4","4","4","4","2","4","4"
"2021/05/11 9:53:57 AM EST","Female","46 - 55","Full-time employed","Monthly","$3,500,000 to $4,500,000","$140,000 to $180,000","$220,000 to $260,000","2","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","1","5","3"
"2021/05/11 9:58:33 AM EST","Female","18 - 25","Full-time employed","Monthly","$500,000 to $1,500,000","$20,000 to $60,000","$20,000 to $60,000","3","3","4","3","4","4","4","4","4","4","4","3","3","3","4","4","2","3","5"
"2021/05/11 10:03:39 AM EST","Female","36 - 45","Full-time employed","Monthly","$500,000 to $1,500,000","$60,000 to $100,000","$60,000 to $100,000","3","2","2","3","3","3","2","2","3","3","3","2","2","3","3","3","4","4","2"
"2021/05/11 10:05:50 AM EST","Male","26 - 35","Full-time employed;Part-time student","Monthly","$1,500,000 to $2,500,000","$100,000 to $140,000","$180,000 to $220,000","4","1 (Not important)","3","3","3","3","1 (Not important)","3","3","3","3","3","3","3","3","3","2","3","4"
"2021/05/11 10:12:33 AM EST","Female","26 - 35","Full-time employed","Monthly","$500,000 to $1,500,000","$140,000 to $180,000","$100,000 to $140,000","1","5 (Very important)","1 (Not important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","1 (Not important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","1","3","4"
"2021/05/11 10:14:38 AM EST","Female","26 - 35","Full-time employed","Monthly","$500,000 to $1,500,000","$100,000 to $140,000","$140,000 to $180,000","2","2","4","2","4","4","4","4","4","4","4","3","4","4","4","4","2","3","5"
"2021/05/11 10:22:09 AM EST","Female","36 - 45","Full-time employed","Monthly","$1,500,000 to $2,500,000","$60,000 to $100,000","$140,000 to $180,000","3","4","3","3","4","3","4","4","4","4","4","4","3","4","4","4","3","4","5"
"2021/05/11 10:23:34 AM EST","Female","36 - 45","Full-time employed","Monthly","$2,500,000 to $3,500,000","$220,000 to $260,000","$220,000 to $260,000","3","2","3","3","4","4","4","4","4","4","4","2","3","3","2","4","1","1","1"
"2021/05/11 10:34:24 AM EST","Female","36 - 45","Full-time employed;Full-time student","Monthly","$1,500,000 to $2,500,000","$180,000 to $220,000","$100,000 to $140,000","3","2","2","2","2","2","3","2","3","3","2","3","3","3","3","3","3","5","5"
"2021/05/11 10:44:57 AM EST","Female","26 - 35","Full-time employed","Monthly","$500,000 to $1,500,000","$20,000 to $60,000","$60,000 to $100,000","3","1 (Not important)","3","2","3","3","1 (Not important)","3","3","3","3","1 (Not important)","3","3","3","3","2","4","5"
"2021/05/11 11:17:12 AM EST","Male","46 - 55","Full-time employed","Monthly","$3,500,000 to $4,500,000","$220,000 to $260,000","$300,000 and greater","4","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","4","5 (Very important)","5 (Very important)","5 (Very important)","3","5 (Very important)","5","3","4"
"2021/05/11 11:33:11 AM EST","Male","26 - 35","Full-time employed","Monthly","$1,500,000 to $2,500,000","$140,000 to $180,000","$140,000 to $180,000","3","3","3","2","3","3","1 (Not important)","3","3","3","3","2","3","3","3","3","3","3","5"
"2021/05/11 11:35:56 AM EST","Male","26 - 35","Full-time employed","Monthly","$500,000 to $1,500,000","$100,000 to $140,000","$60,000 to $100,000","3","3","3","3","3","3","3","3","3","3","3","3","3","3","2","3","2","4","5"
"2021/05/11 11:38:15 AM EST","Male","18 - 25","Part-time employed","Monthly","$500,000 to $1,500,000","$20,000 to $60,000","$20,000 to $60,000","4","5 (Very important)","5 (Very important)","1 (Not important)","5 (Very important)","1 (Not important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","1 (Not important)","3","3","5 (Very important)","5 (Very important)","5 (Very important)","3","1","5"
"2021/05/11 11:42:17 AM EST","Male","18 - 25","Part-time employed;Full-time student","Monthly","$1 to $500,000","$0 to $20,000","$0 to $20,000","4","5 (Very important)","5 (Very important)","5 (Very important)","1 (Not important)","3","3","3","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","3","2","5 (Very important)","3","4","2","5"
"2021/05/11 11:59:01 AM EST","Female","36 - 45","Full-time employed","Monthly","$500,000 to $1,500,000","$100,000 to $140,000","$60,000 to $100,000","3","4","3","4","4","4","4","3","3","4","4","3","3","4","4","3","3","4","4"
"2021/05/11 12:13:05 PM EST","Female","26 - 35","Full-time employed","Monthly","$500,000 to $1,500,000","$60,000 to $100,000","$100,000 to $140,000","3","4","4","4","4","4","3","4","4","4","4","3","4","4","4","4","2","5","2"
"2021/05/11 12:16:51 PM EST","Female","36 - 45","Full-time employed","Monthly","$500,000 to $1,500,000","$100,000 to $140,000","$180,000 to $220,000","3","1 (Not important)","1 (Not important)","1 (Not important)","1 (Not important)","1 (Not important)","1 (Not important)","1 (Not important)","1 (Not important)","1 (Not important)","1 (Not important)","2","2","2","2","2","3","3","1"
"2021/05/11 12:34:32 PM EST","Male","26 - 35","Full-time employed","Monthly","$2,500,000 to $3,500,000","$60,000 to $100,000","$300,000 and greater","2","1 (Not important)","3","2","3","2","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","3","4","3","4","4","2","4","1"
"2021/05/11 1:17:46 PM EST","Male","26 - 35","Full-time employed","Monthly","$500,000 to $1,500,000","$60,000 to $100,000","$100,000 to $140,000","3","3","3","2","3","3","3","3","3","3","3","3","3","3","3","3","3","4","4"
"2021/05/11 1:44:38 PM EST","Female","36 - 45","Full-time employed","Monthly","$500,000 to $1,500,000","$140,000 to $180,000","$140,000 to $180,000","2","3","4","3","4","3","4","3","4","4","4","3","3","4","3","3","4","5","5"
"2021/05/11 2:54:19 PM EST","Male","18 - 25","Full-time student","Monthly","$500,000 to $1,500,000","$20,000 to $60,000","$60,000 to $100,000","4","3","4","3","4","3","4","4","4","4","3","4","2","4","4","4","1","5","5"
"2021/05/11 3:11:35 PM EST","Female","18 - 25","Full-time student","I do not work ","$0","$0 to $20,000","$0 to $20,000","3","1 (Not important)","2","2","3","2","1 (Not important)","3","4","4","3","1 (Not important)","2","3","3","4","4","2","2"
"2021/05/11 3:25:37 PM EST","Male","18 - 25","Full-time student","Monthly","$1 to $500,000","$0 to $20,000","$0 to $20,000","4","3","5 (Very important)","3","5 (Very important)","5 (Very important)","4","5 (Very important)","4","5 (Very important)","5 (Very important)","5 (Very important)","4","5 (Very important)","5 (Very important)","5 (Very important)","2","5","5"
"2021/05/11 3:28:33 PM EST","Male","18 - 25","Full-time employed;Full-time student","Monthly","$1,500,000 to $2,500,000","$20,000 to $60,000","$60,000 to $100,000","4","2","3","4","4","1 (Not important)","2","4","5 (Very important)","5 (Very important)","5 (Very important)","3","4","2","5 (Very important)","2","2","3","5"
"2021/05/11 3:31:57 PM EST","Female","18 - 25","Full-time employed","Monthly","$500,000 to $1,500,000","$20,000 to $60,000","$60,000 to $100,000","3","2","1 (Not important)","3","2","2","2","2","3","2","2","2","1 (Not important)","3","2","3","4","5","4"
"2021/05/11 3:32:21 PM EST","Female","46 - 55","Full-time employed","Monthly","$1,500,000 to $2,500,000","$100,000 to $140,000","$140,000 to $180,000","4","1 (Not important)","3","2","3","3","3","3","3","3","3","3","3","2","3","3","4","3","5"
"2021/05/11 3:54:10 PM EST","Male","56 - 65","Part-time employed","Monthly","$500,000 to $1,500,000","$60,000 to $100,000","$100,000 to $140,000","3","4","2","3","3","3","3","2","3","3","3","4","4","3","4","4","5","4","4"
"2021/05/11 4:13:56 PM EST","Male","18 - 25","Not employed for pay;Full-time student","Weekly","$1 to $500,000","$20,000 to $60,000","$20,000 to $60,000","3","2","4","3","5 (Very important)","4","4","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","3","2","4","5 (Very important)","4","3","4","5"
"2021/05/11 4:19:26 PM EST","Male","18 - 25","Not employed for pay;Full-time student","0","$0","$0 to $20,000","$0 to $20,000","3","1 (Not important)","1 (Not important)","1 (Not important)","1 (Not important)","1 (Not important)","1 (Not important)","1 (Not important)","1 (Not important)","1 (Not important)","1 (Not important)","1 (Not important)","1 (Not important)","1 (Not important)","1 (Not important)","1 (Not important)","3","3","3"
"2021/05/11 4:31:41 PM EST","Female","18 - 25","Not employed for pay;Full-time student","None ","$1 to $500,000","$60,000 to $100,000","$0 to $20,000","3","3","5 (Very important)","4","5 (Very important)","4","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","3","3","3","5 (Very important)","4","4","3","2"
"2021/05/11 4:50:50 PM EST","Female","18 - 25","Full-time student","N/A","$0","$0 to $20,000","$0 to $20,000","2","2","3","3","4","4","3","4","4","4","4","3","4","4","4","4","3","5","2"
"2021/05/11 4:58:20 PM EST","Female","18 - 25","Not employed for pay;Full-time student","None ","$1 to $500,000","$60,000 to $100,000","$0 to $20,000","3","3","5 (Very important)","4","5 (Very important)","4","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","3","3","3","5 (Very important)","4","4","3","2"
"2021/05/11 5:04:50 PM EST","Female","18 - 25","Full-time student","Monthly","$1 to $500,000","$0 to $20,000","$0 to $20,000","4","3","3","3","3","3","2","3","2","3","2","3","2","3","2","3","1","4","3"
"2021/05/11 5:19:05 PM EST","Male","18 - 25","Full-time employed;Full-time student","Bi-weekly","$1 to $500,000","$0 to $20,000","$100,000 to $140,000","4","3","2","2","2","3","2","2","2","3","3","1 (Not important)","2","3","4","4","2","5","5"
"2021/05/11 5:28:47 PM EST","Male","18 - 25","Full-time student","No monthly income","$1 to $500,000","$0 to $20,000","$0 to $20,000","3","1 (Not important)","2","3","2","4","1 (Not important)","2","3","4","4","1 (Not important)","1 (Not important)","3","2","4","3","4","5"
"2021/05/11 5:41:40 PM EST","Male","18 - 25","Part-time employed","Weekly","$1 to $500,000","$20,000 to $60,000","$140,000 to $180,000","5","2","3","4","4","3","3","4","4","4","3","3","4","4","4","4","2","4","5"
"2021/05/11 5:45:05 PM EST","Male","26 - 35","Full-time employed","Monthly","$2,500,000 to $3,500,000","$220,000 to $260,000","$220,000 to $260,000","3","3","2","3","2","3","3","2","2","3","3","3","2","3","2","2","4","3","5"
"2021/05/11 5:53:07 PM EST","Male","18 - 25","Full-time student","None","$0","$0 to $20,000","$0 to $20,000","5","2","3","3","3","1 (Not important)","3","3","3","3","3","2","3","3","3","3","2","2","5"
"2021/05/11 5:53:19 PM EST","Female","26 - 35","Full-time employed","Monthly","$500,000 to $1,500,000","$60,000 to $100,000","$100,000 to $140,000","3","5 (Very important)","5 (Very important)","4","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","1","5","5"
"2021/05/11 7:31:08 PM EST","Male","18 - 25","Full-time employed;Part-time student","Bi-weekly","$500,000 to $1,500,000","$20,000 to $60,000","$60,000 to $100,000","3","2","4","4","4","3","1 (Not important)","3","4","4","1 (Not important)","4","1 (Not important)","4","4","4","5","1","4"
"2021/05/11 8:21:42 PM EST","Male","18 - 25","Full-time employed;Full-time student","Weekly","$0","$20,000 to $60,000","$20,000 to $60,000","4","1 (Not important)","3","2","3","3","3","3","3","3","3","1 (Not important)","3","2","3","3","2","5","5"
"2021/05/11 8:30:53 PM EST","Male","46 - 55","Full-time employed","Semi-monthly","$2,500,000 to $3,500,000","$100,000 to $140,000","$140,000 to $180,000","4","1 (Not important)","5 (Very important)","3","5 (Very important)","5 (Very important)","3","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","3","5 (Very important)","4","5 (Very important)","5 (Very important)","4","2","3"
"2021/05/11 8:31:16 PM EST","Female","18 - 25","Full-time student","Monthly","$0","$20,000 to $60,000","$0 to $20,000","3","2","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","4"
"2021/05/11 8:31:28 PM EST","Female","18 - 25","Full-time employed","Monthly","$1,500,000 to $2,500,000","$20,000 to $60,000","$140,000 to $180,000","2","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","5","5"
"2021/05/11 8:36:06 PM EST","Female","18 - 25","Full-time employed","Monthly","$1 to $500,000","$20,000 to $60,000","$20,000 to $60,000","3","1 (Not important)","3","3","3","3","3","3","3","3","3","2","3","3","3","3","2","5","5"
"2021/05/11 8:44:23 PM EST","Female","26 - 35","Full-time employed","Bi-weekly","$500,000 to $1,500,000","$100,000 to $140,000","$300,000 and greater","4","4","1 (Not important)","3","1 (Not important)","4","4","1 (Not important)","3","4","3","4","1 (Not important)","3","1 (Not important)","3","3","4","5"
"2021/05/11 8:47:33 PM EST","Female","26 - 35","Full-time employed","Monthly","$2,500,000 to $3,500,000","$100,000 to $140,000","$180,000 to $220,000","3","3","3","2","3","3","3","3","3","3","3","2","3","2","3","3","3","2","3"
"2021/05/11 8:48:47 PM EST","Female","18 - 25","Full-time employed","Bi-weekly","$1,500,000 to $2,500,000","$60,000 to $100,000","$220,000 to $260,000","3","4","5 (Very important)","4","4","3","3","5 (Very important)","4","5 (Very important)","3","5 (Very important)","4","5 (Very important)","5 (Very important)","4","4","3","3"
"2021/05/11 8:49:42 PM EST","Female","46 - 55","Part-time employed","Monthly","$3,500,000 to $4,500,000","$300,000 and greater","$220,000 to $260,000","1","2","4","2","4","2","3","4","4","4","2","3","4","4","4","4","3","2","5"
"2021/05/11 8:49:54 PM EST","Female","36 - 45","Not employed for pay","0","$0","$60,000 to $100,000","$0 to $20,000","3","4","4","3","4","5 (Very important)","4","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","4","4","4","4","4","5","5","5"
"2021/05/11 8:50:26 PM EST","Female","26 - 35","Full-time employed","Monthly","$1,500,000 to $2,500,000","$140,000 to $180,000","$180,000 to $220,000","3","4","4","4","4","4","2","3","4","4","4","2","3","3","4","4","2","3","5"
"2021/05/11 8:50:39 PM EST","Female","36 - 45","Full-time employed","Monthly","$1,500,000 to $2,500,000","$140,000 to $180,000","$140,000 to $180,000","1","1 (Not important)","2","1 (Not important)","1 (Not important)","1 (Not important)","3","3","3","3","3","1 (Not important)","1 (Not important)","1 (Not important)","1 (Not important)","3","5","5","1"
"2021/05/11 8:50:48 PM EST","Female","46 - 55","Full-time employed","Monthly","$1,500,000 to $2,500,000","$100,000 to $140,000","$140,000 to $180,000","1","1 (Not important)","3","2","3","3","1 (Not important)","3","2","3","3","2","3","3","3","3","1","4","2"
"2021/05/11 8:53:52 PM EST","Female","36 - 45","Full-time employed","Weekly","$2,500,000 to $3,500,000","$140,000 to $180,000","$220,000 to $260,000","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","2","4"
"2021/05/11 8:57:50 PM EST","Female","18 - 25","Full-time student","I do not get paid","$0","$20,000 to $60,000","$20,000 to $60,000","2","3","4","4","4","4","3","4","5 (Very important)","5 (Very important)","5 (Very important)","3","4","5 (Very important)","5 (Very important)","5 (Very important)","2","4","5"
"2021/05/11 8:58:05 PM EST","Female","26 - 35","Full-time employed;Part-time student","Monthly","$3,500,000 to $4,500,000","$140,000 to $180,000","$260,000 to $300,000","4","2","4","2","4","4","4","4","4","4","4","3","4","4","4","3","1","5","3"
"2021/05/11 8:58:33 PM EST","Female","26 - 35","Full-time employed","Monthly","$3,500,000 to $4,500,000","$260,000 to $300,000","$180,000 to $220,000","4","1 (Not important)","3","1 (Not important)","3","3","3","3","3","3","3","1 (Not important)","3","2","3","3","4","3","5"
"2021/05/11 8:59:35 PM EST","Male","26 - 35","Full-time employed","Monthly","$1,500,000 to $2,500,000","$60,000 to $100,000","$180,000 to $220,000","3","3","4","4","4","4","3","2","4","4","4","1 (Not important)","3","4","4","4","5","5","4"
"2021/05/11 9:15:20 PM EST","Female","46 - 55","Full-time employed","Monthly","$3,500,000 to $4,500,000","$20,000 to $60,000","$60,000 to $100,000","4","4","3","3","3","4","3","3","3","3","3","4","4","4","4","4","4","4","4"
"2021/05/11 9:15:30 PM EST","Female","26 - 35","Full-time employed","Monthly","$1,500,000 to $2,500,000","$60,000 to $100,000","$180,000 to $220,000","2","3","2","3","4","3","3","4","4","3","4","3","3","3","4","4","3","2","4"
"2021/05/11 9:19:57 PM EST","Male","18 - 25","Full-time employed","Monthly","$1,500,000 to $2,500,000","$180,000 to $220,000","$20,000 to $60,000","5","2","4","3","4","4","4","4","4","4","4","4","4","4","4","4","4","1","5"
"2021/05/11 9:30:42 PM EST","Female","18 - 25","Full-time student","Weekly","$0","$0 to $20,000","$0 to $20,000","3","2","4","4","4","3","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","1","2","5"
"2021/05/11 9:41:37 PM EST","Female","26 - 35","Full-time employed","Monthly","$500,000 to $1,500,000","$140,000 to $180,000","$60,000 to $100,000","5","5 (Very important)","1 (Not important)","5 (Very important)","1 (Not important)","5 (Very important)","5 (Very important)","1 (Not important)","5 (Very important)","1 (Not important)","1 (Not important)","5 (Very important)","1 (Not important)","5 (Very important)","1 (Not important)","3","5","5","3"
"2021/05/11 9:47:45 PM EST","Male","26 - 35","Full-time employed","Monthly","$5,500,000 and greater","$220,000 to $260,000","$300,000 and greater","4","1 (Not important)","5 (Very important)","3","4","4","2","5 (Very important)","5 (Very important)","5 (Very important)","4","1 (Not important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","4","1","5"
"2021/05/11 10:14:30 PM EST","Female","46 - 55","Full-time employed;Part-time student","Monthly","$1,500,000 to $2,500,000","$140,000 to $180,000","$100,000 to $140,000","1","1 (Not important)","4","4","4","2","4","4","4","4","4","4","4","4","4","4","4","3","2"
"2021/05/11 10:19:59 PM EST","Female","18 - 25","Part-time employed;Part-time student","Bi-weekly","$1 to $500,000","$20,000 to $60,000","$20,000 to $60,000","2","2","1 (Not important)","2","2","2","3","2","3","3","1 (Not important)","3","2","3","2","2","3","2","4"
"2021/05/11 10:29:24 PM EST","Female","36 - 45","Full-time employed","Monthly","$1,500,000 to $2,500,000","$60,000 to $100,000","$100,000 to $140,000","2","2","2","2","2","2","2","2","2","2","2","3","3","3","3","3","1","3","5"
"2021/05/11 10:31:26 PM EST","Female","18 - 25","Full-time student","Monthly","$1 to $500,000","$0 to $20,000","$0 to $20,000","2","2","4","3","4","4","2","4","4","4","4","2","4","4","4","4","1","3","5"
"2021/05/11 10:56:09 PM EST","Female","46 - 55","Full-time employed;Caregiver (e.g., children, elderly);Homemaker;Part-time student","Monthly","$3,500,000 to $4,500,000","$140,000 to $180,000","$300,000 and greater","1","2","3","3","3","3","3","3","3","3","3","2","3","3","3","3","2","1","4"
"2021/05/11 11:20:29 PM EST","Female","36 - 45","Full-time employed","Monthly","$500,000 to $1,500,000","$100,000 to $140,000","$140,000 to $180,000","4","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","2","5","3"
"2021/05/12 12:21:14 AM EST","Male","18 - 25","Full-time student","Monthly","$500,000 to $1,500,000","$20,000 to $60,000","$60,000 to $100,000","4","3","4","3","4","3","4","4","4","4","3","4","2","4","4","4","1","5","5"
"2021/05/12 1:16:26 AM EST","Male","18 - 25","Full-time student","Monthly","$1 to $500,000","$20,000 to $60,000","$20,000 to $60,000","3","2","2","3","3","4","3","4","4","4","4","2","3","4","4","4","1","4","4"
"2021/05/12 2:16:02 AM EST","Prefer not to say","46 - 55","Full-time employed","Bi-weekly","$1,500,000 to $2,500,000","$60,000 to $100,000","$60,000 to $100,000","2","4","4","3","4","3","2","2","2","2","2","3","3","3","3","3","1","1","4"
"2021/05/12 3:48:25 AM EST","Female","36 - 45","Not employed for pay","Monthly","$1,500,000 to $2,500,000","$300,000 and greater","$300,000 and greater","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"2021/05/12 6:20:08 AM EST","Female","18 - 25","Part-time employed;Full-time student","Bi-weekly","$1 to $500,000","$300,000 and greater","$0 to $20,000","1","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","2","3","5 (Very important)","3","5 (Very important)","5","3","1"
"2021/05/12 7:31:11 AM EST","Female","46 - 55","Full-time employed","Weekly","$1,500,000 to $2,500,000","$60,000 to $100,000","$100,000 to $140,000","3","1 (Not important)","5 (Very important)","1 (Not important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","1 (Not important)","5 (Very important)","1 (Not important)","5 (Very important)","5 (Very important)","1","5","4"
"2021/05/12 8:43:17 AM EST","Male","18 - 25","Part-time employed","Weekly","$0","$0 to $20,000","$20,000 to $60,000","3","2","2","3","4","3","2","2","3","3","4","1 (Not important)","2","2","2","3","5","3","3"
"2021/05/12 9:05:09 AM EST","Female","26 - 35","Full-time employed","Monthly","$2,500,000 to $3,500,000","$180,000 to $220,000","$180,000 to $220,000","3","3","4","5 (Very important)","5 (Very important)","4","4","5 (Very important)","5 (Very important)","5 (Very important)","4","4","5 (Very important)","5 (Very important)","5 (Very important)","4","2","4","5"
"2021/05/12 10:53:09 AM EST","Female","36 - 45","Full-time employed","Monthly","$3,500,000 to $4,500,000","$140,000 to $180,000","$220,000 to $260,000","3","3","4","4","3","4","4","4","4","4","4","4","4","4","4","4","3","1","5"
"2021/05/12 12:16:47 PM EST","Male","18 - 25","Full-time student","Unemployed (full time student)","$0","$0 to $20,000","$0 to $20,000","1","3","3","3","3","3","3","3","3","3","2","3","3","3","3","3","2","3","5"
"2021/05/12 1:57:03 PM EST","Female","18 - 25","Part-time employed;Full-time student","Bi-weekly","$1 to $500,000","$0 to $20,000","$20,000 to $60,000","3","5 (Very important)","5 (Very important)","3","5 (Very important)","3","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","5 (Very important)","4","5 (Very important)","4","5 (Very important)","5 (Very important)","4","2","4"
"2021/05/12 2:53:01 PM EST","Male","36 - 45","Full-time employed","Monthly","$1,500,000 to $2,500,000","$60,000 to $100,000","$140,000 to $180,000","3","3","2","3","4","2","4","2","4","4","2","4","4","3","4","3","4","3","4"
"2021/05/12 9:12:34 PM EST","Male","26 - 35","Full-time employed","Monthly","$1,500,000 to $2,500,000","$100,000 to $140,000","$180,000 to $220,000","4","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","5","5"
"2021/05/13 3:05:35 PM EST","Male","18 - 25","Full-time employed;Full-time student","Bi-weekly","$1 to $500,000","$0 to $20,000","$100,000 to $140,000","4","3","2","2","2","3","2","2","2","3","3","1 (Not important)","2","3","4","4","2","5","5"
"2021/05/14 9:49:12 AM EST","Male","18 - 25","Full-time student","No monthly income","$1 to $500,000","$0 to $20,000","$0 to $20,000","3","1 (Not important)","2","3","2","4","1 (Not important)","2","3","4","4","1 (Not important)","1 (Not important)","3","2","4","3","4","5"
"2021/05/16 7:37:46 PM EST","Female","56 - 65","Full-time employed","Monthly","$1,500,000 to $2,500,000","$60,000 to $100,000","$100,000 to $140,000","3","4","3","3","3","3","3","4","5 (Very important)","5 (Very important)","5 (Very important)","4","3","5 (Very important)","5 (Very important)","4","3","2","4"